ForecastID,Confirmed,Deaths
174,90633,1580
175,7697,112
176,35229,410
177,71083,1359
178,7333,436
179,193101,15931
180,25914,798
181,436545,32947
182,173718,2786
183,12757,147
184,127308,4214
185,61520,816
186,27803,477
187,141525,7683
188,22122,1050
189,122709,2829
190,15055,173
191,160657,1864
192,650106,13128
193,53586,420
194,1651,58
195,124235,2638
196,76706,1954
197,10756,233
198,78091,1142
199,3946,38
200,132399,2271
201,5438,41
202,203977,5214
203,64092,866
204,743687,13536
205,58781,1956
206,53568,4468
207,17800,613
208,636333,11685
209,279910,5940
210,9598,88
211,33502,389
212,246065,8315
213,99119,3324
214,67784,1155
215,45629,464
216,51710,966
217,151307,5074
218,4655,133
219,111316,3788
220,130085,9092
221,116196,6762
222,79591,1898
223,86324,2624
224,91902,1586
225,7764,114
226,35454,413
227,71663,1372
228,7354,438
229,193429,16061
230,26034,802
231,436727,32945
232,175191,2804
233,13024,148
234,128332,4243
235,62205,820
236,28046,482
237,142177,7690
238,22181,1048
239,123605,2854
240,15490,174
241,161972,1892
242,654488,13204
243,53978,422
244,1657,58
245,125065,2652
246,77100,1960
247,10890,237
248,78647,1148
249,3963,39
250,133541,2283
251,5477,41
252,204507,5240
253,64695,879
254,748965,13643
255,59123,1960
256,53634,4467
257,17873,612
258,639458,11783
259,281594,5991
260,9840,92
261,33759,395
262,247878,8323
263,100148,3332
264,68305,1162
265,46153,467
266,52352,971
267,151916,5088
268,4681,133
269,111906,3802
270,130380,9091
271,116861,6771
272,80282,1904
273,86931,2655
274,93072,1596
275,7827,117
276,35718,415
277,72055,1386
278,7370,441
279,193830,16044
280,26158,807
281,437152,32963
282,176606,2823
283,13296,150
284,129325,4261
285,62891,826
286,28300,487
287,142842,7696
288,22166,1049
289,124527,2878
290,15925,175
291,163564,1922
292,658764,13305
293,54363,425
294,1663,58
295,125981,2673
296,77629,1970
297,11026,241
298,79289,1155
299,3990,39
300,134875,2292
301,5521,41
302,205025,5283
303,65291,893
304,756988,13772
305,59369,1961
306,53780,4463
307,17977,612
308,642348,11886
309,283414,6048
310,10075,96
311,34041,402
312,249719,8340
313,101147,3339
314,69063,1171
315,46860,471
316,53019,976
317,152709,5118
318,4710,133
319,112485,3811
320,130656,9096
321,117461,6769
322,80938,1907
323,87562,2687
324,94305,1603
325,7894,119
326,35994,417
327,72522,1401
328,7379,441
329,194194,16063
330,26286,812
331,437514,32964
332,178233,2847
333,13540,150
334,130292,4285
335,63560,832
336,28525,492
337,143549,7712
338,22167,1049
339,125437,2904
340,16397,177
341,165028,1951
342,663176,13391
343,54755,428
344,1669,58
345,126857,2689
346,78112,1980
347,11165,245
348,79986,1161
349,4033,39
350,136045,2311
351,5559,42
352,205548,5315
353,65772,911
354,761520,13866
355,59681,1965
356,53888,4459
357,18031,611
358,645334,11986
359,285384,6109
360,10334,100
361,34303,407
362,251477,8345
363,102150,3343
364,70281,1179
365,47550,473
366,53655,981
367,153329,5138
368,4733,134
369,113069,3817
370,130933,9105
371,118138,6775
372,81677,1905
373,88205,2717
374,95529,1611
375,7954,121
376,36254,420
377,73068,1415
378,7396,442
379,194467,16061
380,26426,818
381,438125,32965
382,179929,2870
383,13783,151
384,131383,4312
385,64221,838
386,28775,496
387,144176,7721
388,22203,1049
389,126302,2936
390,17058,178
391,166342,1982
392,667692,13485
393,55140,431
394,1675,58
395,127809,2702
396,78581,1988
397,11291,250
398,80602,1168
399,4071,39
400,137287,2330
401,5599,43
402,205788,5348
403,66422,924
404,767360,13974
405,60004,1967
406,53976,4456
407,18117,611
408,647958,12086
409,287140,6162
410,10583,104
411,34605,413
412,253595,8366
413,103124,3350
414,70977,1188
415,48097,475
416,54282,987
417,154194,5167
418,4756,134
419,113643,3822
420,131297,9102
421,119098,6799
422,82443,1917
423,88809,2746
424,96759,1622
425,8012,123
426,36490,423
427,73610,1428
428,7414,443
429,194677,16069
430,26583,822
431,438587,32967
432,181419,2887
433,14045,152
434,132441,4329
435,64859,842
436,29061,500
437,144877,7726
438,22215,1052
439,127318,2965
440,17664,180
441,167926,2016
442,672905,13580
443,55522,435
444,1680,58
445,128658,2716
446,79038,1997
447,11435,254
448,81236,1173
449,4122,39
450,138513,2356
451,5635,43
452,206452,5387
453,67011,939
454,771597,14058
455,60283,1968
456,54166,4455
457,18253,614
458,651113,12183
459,288982,6202
460,10835,108
461,34877,418
462,255385,8374
463,104098,3353
464,71565,1194
465,48750,479
466,55009,990
467,154550,5195
468,4786,134
469,114242,3843
470,131657,9100
471,119484,6798
472,83170,1923
473,89440,2775
474,97995,1639
475,8075,126
476,36761,425
477,74069,1441
478,7434,444
479,194997,16061
480,26705,826
481,439069,32972
482,183066,2905
483,14274,153
484,133556,4370
485,65532,847
486,29297,505
487,145553,7733
488,22201,1050
489,128291,2992
490,18323,181
491,169276,2047
492,678024,13666
493,55958,437
494,1689,58
495,129636,2732
496,79622,2007
497,11571,259
498,81890,1177
499,4141,39
500,139920,2368
501,5666,44
502,207203,5425
503,67567,956
504,777969,14161
505,60543,1968
506,54181,4457
507,18296,614
508,654547,12268
509,290872,6272
510,11071,113
511,35127,423
512,257214,8378
513,105073,3357
514,72181,1202
515,49227,481
516,55657,996
517,155327,5214
518,4814,134
519,114805,3848
520,131810,9101
521,120259,6805
522,83842,1930
523,90039,2801
524,99132,1647
525,8141,128
526,37009,427
527,74514,1451
528,7443,444
529,195298,16044
530,26829,830
531,439605,32979
532,184613,2925
533,14546,154
534,134646,4363
535,66202,853
536,29540,509
537,146132,7737
538,22203,1051
539,129261,3024
540,19007,182
541,170805,2081
542,682224,13813
543,56356,439
544,1696,58
545,130642,2746
546,80157,2011
547,11696,262
548,82422,1182
549,4168,39
550,141100,2386
551,5707,45
552,207810,5465
553,68185,972
554,784053,14265
555,60811,1970
556,54403,4452
557,18374,615
558,657641,12365
559,292752,6339
560,11316,119
561,35428,428
562,258935,8390
563,106033,3362
564,72630,1209
565,49889,484
566,56269,1001
567,156027,5242
568,4837,135
569,115358,3851
570,132182,9110
571,120846,6803
572,84480,1938
573,90785,2833
574,100449,1660
575,8202,130
576,37242,430
577,74992,1467
578,7454,444
579,195628,16033
580,26954,836
581,440103,32981
582,186097,2948
583,14852,155
584,135535,4382
585,66997,858
586,29747,514
587,146767,7745
588,22255,1053
589,130234,3046
590,19674,183
591,172478,2111
592,685689,13903
593,56709,442
594,1702,58
595,131595,2762
596,80641,2020
597,11831,266
598,83116,1191
599,4205,40
600,142441,2406
601,5744,46
602,208360,5498
603,68766,988
604,788455,14367
605,61066,1970
606,54517,4453
607,18454,616
608,661100,12457
609,294733,6400
610,11572,126
611,35755,434
612,260803,8397
613,107036,3366
614,73257,1217
615,50504,487
616,56979,1008
617,156571,5261
618,4861,135
619,116021,3859
620,132387,9111
621,121377,6809
622,85159,1944
623,91449,2862
624,101597,1668
625,8257,133
626,37491,433
627,75482,1482
628,7467,446
629,195816,16023
630,27133,842
631,440419,32970
632,187757,2969
633,15174,156
634,136649,4401
635,67838,861
636,30045,518
637,147479,7748
638,22272,1053
639,131201,3069
640,20433,184
641,174004,2143
642,689328,14041
643,57067,445
644,1709,58
645,132597,2779
646,81199,2032
647,11969,270
648,83770,1195
649,4223,40
650,143617,2417
651,5783,47
652,208800,5527
653,69395,1009
654,794079,14471
655,61328,1973
656,54602,4454
657,18500,616
658,665028,12554
659,296620,6462
660,11819,131
661,36037,440
662,262427,8411
663,108041,3371
664,73803,1224
665,51187,490
666,57605,1014
667,157111,5290
668,4885,135
669,116639,3865
670,132584,9110
671,121917,6802
672,85786,1952
673,92288,2898
674,102832,1675
675,8312,135
676,37711,436
677,76035,1495
678,7482,447
679,196105,16028
680,27284,847
681,440752,32964
682,189381,2993
683,15479,157
684,137642,4421
685,68604,865
686,30314,523
687,148174,7755
688,22291,1053
689,132204,3103
690,21259,185
691,175572,2178
692,693939,14125
693,57505,447
694,1714,58
695,133465,2790
696,81651,2041
697,12096,276
698,84427,1201
699,4268,41
700,144885,2439
701,5813,47
702,209641,5562
703,69992,1026
704,802378,14596
705,61678,1977
706,54736,4455
707,18601,621
708,668529,12654
709,298565,6531
710,12078,138
711,36309,445
712,264329,8418
713,109085,3376
714,74311,1230
715,51829,493
716,58270,1021
717,157777,5319
718,4913,135
719,117299,3876
720,132922,9114
721,122753,6805
722,86472,1957
723,92949,2928
724,104077,1684
725,8377,138
726,37936,440
727,76529,1509
728,7481,447
729,196488,16025
730,27443,852
731,441041,32962
732,190907,3010
733,15791,158
734,138685,4440
735,69272,870
736,30588,527
737,148877,7757
738,22295,1052
739,133155,3128
740,22159,188
741,176949,2210
742,698075,14207
743,57866,451
744,1719,58
745,134277,2802
746,82217,2048
747,12220,281
748,85052,1207
749,4277,42
750,146119,2458
751,5847,49
752,210168,5611
753,70575,1044
754,806544,14661
755,61974,1977
756,54804,4453
757,18672,621
758,671750,12758
759,300472,6590
760,12334,144
761,36592,450
762,266036,8432
763,110066,3381
764,74738,1237
765,52339,495
766,58893,1028
767,158290,5338
768,4938,136
769,118008,3882
770,133139,9115
771,123326,6807
772,87112,1962
773,93643,2962
774,105302,1692
775,8425,140
776,38164,443
777,76951,1520
778,7504,449
779,196714,16002
780,27580,855
781,441239,32965
782,192650,3029
783,16081,159
784,139663,4457
785,70001,876
786,30846,532
787,149456,7764
788,22309,1053
789,134133,3155
790,23063,188
791,178337,2245
792,702860,14273
793,58255,456
794,1727,58
795,135195,2819
796,82781,2058
797,12352,285
798,85656,1212
799,4307,42
800,147504,2473
801,5884,49
802,210794,5660
803,71122,1060
804,813324,14779
805,62257,1979
806,55139,4451
807,18755,621
808,675482,12865
809,302504,6648
810,12594,152
811,36907,456
812,267871,8452
813,111089,3385
814,75199,1246
815,53071,498
816,59782,1034
817,159088,5360
818,4973,136
819,118643,3885
820,133683,9135
821,123953,6814
822,87750,1967
823,94355,2996
824,106537,1698
825,8482,143
826,38388,446
827,77555,1533
828,7522,451
829,197013,16128
830,27714,859
831,441269,32962
832,194158,3047
833,16373,161
834,140682,4485
835,70597,879
836,31089,537
837,150112,7769
838,22346,1051
839,135073,3180
840,24045,189
841,179684,2279
842,707196,14352
843,58662,458
844,1733,58
845,136011,2834
846,83191,2065
847,12489,289
848,86223,1218
849,4325,42
850,148658,2485
851,5923,52
852,211485,5688
853,71738,1078
854,818414,14886
855,62590,1983
856,55203,4449
857,18829,620
858,679437,12963
859,304248,6722
860,12868,159
861,37175,463
862,269644,8457
863,112143,3392
864,75719,1253
865,53624,500
866,60463,1040
867,159714,5372
868,4999,136
869,119272,3898
870,133939,9132
871,124570,6824
872,88369,1973
873,95017,3031
874,107673,1709
875,8538,146
876,38651,448
877,77971,1547
878,7536,454
879,197387,16106
880,27852,864
881,441546,32977
882,195607,3065
883,16708,162
884,141669,4502
885,71288,885
886,31343,542
887,150779,7773
888,22322,1051
889,136038,3204
890,25068,190
891,181309,2314
892,711426,14455
893,59062,461
894,1738,58
895,136915,2854
896,83736,2075
897,12629,294
898,86878,1224
899,4353,42
900,150004,2494
901,5967,53
902,212162,5733
903,72347,1099
904,825710,15015
905,62860,1983
906,55366,4444
907,18936,619
908,683109,13067
909,306127,6776
910,13134,167
911,37468,469
912,271385,8470
913,113168,3398
914,76477,1262
915,54360,504
916,61170,1045
917,160506,5400
918,5027,136
919,119888,3908
920,134190,9134
921,125129,6823
922,88958,1978
923,95716,3066
924,108873,1715
925,8599,148
926,38927,449
927,78462,1561
928,7543,454
929,197727,16122
930,27994,869
931,441765,32977
932,197268,3089
933,17031,162
934,142630,4527
935,71973,891
936,31568,547
937,151496,7788
938,22313,1051
939,136990,3230
940,26170,191
941,182804,2349
942,715793,14543
943,59468,464
944,1744,58
945,137778,2871
946,84235,2084
947,12771,298
948,87587,1231
949,4396,42
950,151185,2513
951,6005,54
952,212842,5766
953,72840,1117
954,830083,15109
955,63178,1986
956,55488,4440
957,18991,618
958,686832,13167
959,308156,6847
960,13424,177
961,37741,475
962,273094,8472
963,114197,3401
964,77694,1270
965,55079,507
966,61844,1050
967,161123,5419
968,5051,136
969,120508,3913
970,134433,9142
971,125775,6830
972,89636,1978
973,96370,3099
974,110064,1723
975,8652,151
976,39187,453
977,79032,1576
978,7557,455
979,197997,16115
980,28146,875
981,442238,32978
982,198997,3112
983,17390,163
984,143716,4554
985,72667,897
986,31818,551
987,152116,7796
988,22338,1051
989,137897,3263
990,27507,193
991,184149,2387
992,720265,14639
993,59869,467
994,1750,58
995,138719,2883
996,84719,2092
997,12901,303
998,88214,1238
999,4436,42
1000,152439,2532
1001,6046,54
1002,213235,5801
1003,73503,1137
1004,835633,15217
1005,63490,1989
1006,55599,4436
1007,19079,618
1008,690151,13268
1009,309970,6911
1010,13705,187
1011,38053,480
1012,275114,8489
1013,115197,3408
1014,78391,1279
1015,55655,509
1016,62512,1056
1017,162041,5448
1018,5074,137
1019,121117,3918
1020,134760,9136
1021,126763,6853
1022,90344,1988
1023,96994,3131
1024,111261,1735
1025,8705,154
1026,39423,456
1027,79597,1588
1028,7573,457
1029,198226,16119
1030,28315,879
1031,442566,32979
1032,200519,3127
1033,17753,164
1034,144768,4570
1035,73344,901
1036,32104,555
1037,152794,7799
1038,22342,1053
1039,138954,3292
1040,28839,194
1041,185764,2426
1042,725434,14735
1043,60264,471
1044,1754,58
1045,139557,2897
1046,85193,2102
1047,13048,308
1048,88859,1243
1049,4490,42
1050,153676,2558
1051,6082,54
1052,214052,5842
1053,74104,1157
1054,839751,15300
1055,63784,1989
1056,55747,4435
1057,19216,621
1058,693960,13365
1059,311869,6979
1060,13988,196
1061,38336,485
1062,276839,8494
1063,116196,3409
1064,78978,1285
1065,56336,512
1066,63278,1059
1067,162466,5476
1068,5104,137
1069,121749,3938
1070,135087,9132
1071,127214,6851
1072,91018,1993
1073,97662,3163
1074,112465,1751
1075,8764,157
1076,39694,458
1077,80079,1601
1078,7590,458
1079,198542,16108
1080,28449,883
1081,442920,32983
1082,202199,3145
1083,18121,166
1084,145878,4611
1085,74168,906
1086,32340,560
1087,153451,7805
1088,22324,1051
1089,139969,3319
1090,30276,195
1091,187144,2463
1092,730509,14822
1093,60714,473
1094,1763,58
1095,140525,2914
1096,85792,2111
1097,13187,313
1098,89524,1248
1099,4506,42
1100,155094,2570
1101,6113,55
1102,214952,5882
1103,74672,1176
1104,845313,15404
1105,64071,1989
1106,55766,4436
1107,19261,621
1108,698012,13450
1109,313816,7031
1110,14256,206
1111,38596,490
1112,278593,8494
1113,117197,3412
1114,79594,1293
1115,56842,515
1116,63964,1065
1117,163103,5494
1118,5132,137
1119,122344,3944
1120,135220,9131
1121,127886,6860
1122,91642,1999
1123,98288,3193
1124,113571,1759
1125,8826,159
1126,39942,460
1127,80547,1611
1128,7598,458
1129,198833,16088
1130,28585,887
1131,443330,32989
1132,203777,3165
1133,18458,166
1134,146962,4603
1135,74885,912
1136,32583,564
1137,154026,7807
1138,22325,1051
1139,140978,3351
1140,31795,196
1141,188704,2504
1142,734668,14970
1143,61126,475
1144,1771,58
1145,141520,2928
1146,86341,2115
1147,13315,316
1148,90066,1253
1149,4533,43
1150,156285,2588
1151,6155,56
1152,215707,5923
1153,75302,1196
1154,851289,15508
1155,64363,1990
1156,56037,4430
1157,19340,622
1158,701686,13548
1159,315752,7083
1160,14532,219
1161,38907,495
1162,280272,8503
1163,118183,3416
1164,80044,1300
1165,57531,518
1166,64615,1070
1167,163875,5522
1168,5155,137
1169,122928,3947
1170,135611,9139
1171,128487,6859
1172,92234,2005
1173,98973,3227
1174,114856,1772
1175,8885,162
1176,40175,463
1177,81047,1626
1178,7607,458
1179,199158,16072
1180,28720,893
1181,443707,32990
1182,205293,3187
1183,18780,167
1184,147847,4623
1185,75637,917
1186,32790,569
1187,154652,7814
1188,22356,1052
1189,141991,3373
1190,33358,198
1191,190406,2540
1192,738091,15061
1193,61492,478
1194,1777,58
1195,142464,2943
1196,86840,2124
1197,13453,320
1198,90771,1261
1199,4569,43
1200,157636,2608
1201,6192,57
1202,216402,5958
1203,75895,1216
1204,855517,15610
1205,64629,1990
1206,56155,4431
1207,19422,622
1208,705693,13640
1209,317788,7146
1210,14821,231
1211,39245,502
1212,282083,8507
1213,119212,3419
1214,80670,1308
1215,58173,521
1216,65364,1077
1217,164418,5541
1218,5179,137
1219,123620,3955
1220,135802,9139
1221,129019,6865
1222,92871,2010
1223,99642,3260
1224,115974,1780
1225,8938,166
1226,40423,466
1227,81558,1641
1228,7617,460
1229,199344,16059
1230,28909,899
1231,443906,32979
1232,206983,3208
1233,19157,168
1234,148956,4641
1235,76500,920
1236,33088,573
1237,155357,7815
1238,22361,1052
1239,142997,3396
1240,35078,199
1241,191961,2578
1242,741690,15199
1243,61862,481
1244,1783,58
1245,143457,2960
1246,87413,2136
1247,13595,325
1248,91436,1266
1249,4587,44
1250,158822,2619
1251,6231,58
1252,216985,5988
1253,76536,1238
1254,860937,15714
1255,64914,1992
1256,56244,4431
1257,19470,622
1258,710137,13737
1259,319730,7198
1260,15100,243
1261,39537,508
1262,283640,8518
1263,120241,3424
1264,81217,1315
1265,58884,523
1266,66028,1083
1267,164957,5569
1268,5203,138
1269,124267,3960
1270,135970,9138
1271,129573,6858
1272,93459,2018
1273,100494,3299
1274,117180,1787
1275,8989,169
1276,40643,469
1277,82132,1654
1278,7630,462
1279,199628,16061
1280,29071,904
1281,444125,32972
1282,208637,3232
1283,19524,169
1284,149944,4661
1285,77225,925
1286,33357,578
1287,156045,7820
1288,22377,1051
1289,144038,3431
1290,36934,200
1291,193558,2619
1292,746261,15285
1293,62314,483
1294,1788,58
1295,144317,2972
1296,87879,2145
1297,13725,331
1298,92103,1271
1299,4632,45
